common name,genus,species,code,num
Western Grebe,Aechmophorus,occidentalis,WEGR,1
Western Gull,Larus,occidentalis,WEGU,1
White-eared Hummingbird,Hylocharis,leucotis,WEHU,3
Western Kingbird,Tyrannus,verticalis,WEKI,1
Western Meadowlark,Sturnella,neglecta,WEME,1
Western Reef-Heron,Egretta,gularis,WERH,5
Western Sandpiper,Calidris,mauri,WESA,1
Western Screech-Owl,Megascops,kennicottii,WESO,1
Western Spindalis,Spindalis,zena,WESP,3
Western Tanager,Piranga,ludoviciana,WETA,1
White-eyed Vireo,Vireo,griseus,WEVI,1
Worm-eating Warbler,Helmitheros,vermivorum,WEWA,1
Western Wood-Pewee,Contopus,sordidulus,WEWP,1
White-faced Ibis,Plegadis,chihi,WFIB,1
White-faced Storm-Petrel,Pelagodroma,marina,WFSP,3
Whiskered Auklet,Aethia,pygmaea,WHAU,2
Whooping Crane,Grus,americana,WHCR,2
White Ibis,Eudocimus,albus,WHIB,1
Whimbrel,Numenius,phaeopus,WHIM,1
Whooper Swan,Cygnus,cygnus,WHOS,3
Whiskered Screech-Owl,Megascops,trichopsis,WHSO,2
Whiskered Tern,Chlidonias,hybrida,WHST,5
White Tern,Gygis,alba,WHTT,2
White Wagtail,Motacilla,alba,WHWA,3
White-headed Woodpecker,Picoides,albolarvatus,WHWO,1
Willow Flycatcher,Empidonax,traillii,WIFL,1
Willet,Tringa,semipalmata,WILL,1
Willow Warbler,Phylloscopus,trochilus,WILW,5
Wilson's Phalarope,Phalaropus,tricolor,WIPH,1
Wilson's Plover,Charadrius,wilsonia,WIPL,1
Willow Ptarmigan,Lagopus,lagopus,WIPT,2
Williamson's Sapsucker,Sphyrapicus,thyroideus,WISA,1
Wilson's Snipe,Gallinago,delicata,WISN,1
Wilson's Storm-Petrel,Oceanites,oceanicus,WISP,1
Wild Turkey,Meleagris,gallopavo,WITU,1
Wilson's Warbler,Cardellina,pusilla,WIWA,1
Winter Wren,Troglodytes,hiemalis,WIWR,1
White-necked Petrel,Pterodroma,cervicalis,WNPE,3
Wood Duck,Aix,sponsa,WODU,1
Wood Sandpiper,Tringa,glareola,WOSA,2
Woodhouse's Scrub-Jay,Aphelocoma,woodhouseii,WOSJ,1
Worthen's Sparrow,Spizella,wortheni,WOSP,5
Wood Stork,Mycteria,americana,WOST,1
Wood Thrush,Hylocichla,mustelina,WOTH,1
Wood Warbler,Phylloscopus,sibilatrix,WOWA,5
Wrentit,Chamaea,fasciata,WREN,1
White-rumped Sandpiper,Calidris,fuscicollis,WRSA,1
White-rumped Shama,Copsychus,malabaricus,WRSH,2
Wedge-rumped Storm-Petrel,Oceanodroma,tethys,WRSP,4
White-tipped Dove,Leptotila,verreauxi,WTDO,2
White-tailed Eagle,Haliaeetus,albicilla,WTEA,4
White-tailed Hawk,Geranoaetus,albicaudatus,WTHA,2
White-tailed Kite,Elanus,leucurus,WTKI,1
White-throated Needletail,Hirundapus,caudacutus,WTNE,5
White-tailed Ptarmigan,Lagopus,leucura,WTPT,2
Wedge-tailed Shearwater,Ardenna,pacifica,WTSH,2
White-throated Sparrow,Zonotrichia,albicollis,WTSP,1
White-throated Swift,Aeronautes,saxatalis,WTSW,1
White-throated Thrush,Turdus,assimilis,WTTH,4
White-tailed Tropicbird,Phaethon,lepturus,WTTR,2
White-winged Crossbill,Loxia,leucoptera,WWCR,2
White-winged Dove,Zenaida,asiatica,WWDO,1
White-winged Parakeet,Brotogeris,versicolurus,WWPA,2
White-winged Scoter,Melanitta,fusca,WWSC,1
White-winged Tern,Chlidonias,leucopterus,WWTE,4
Xantus's Hummingbird,Hylocharis,xantusii,XAHU,5
Yellow-billed Cardinal,Paroaria,capitata,YBCA,2
Yellow-breasted Chat,Icteria,virens,YBCH,1
Yellow-billed Cuckoo,Coccyzus,americanus,YBCU,1
Yellow-bellied Flycatcher,Empidonax,flaviventris,YBFL,1
Yellow-billed Loon,Gavia,adamsii,YBLO,2
Yellow-billed Magpie,Pica,nuttalli,YBMA,2
Yellow-bellied Sapsucker,Sphyrapicus,varius,YBSA,1
Yellow-breasted Bunting,Emberiza,aureola,YBSB,5
Yellow-browed Warbler,Phylloscopus,inornatus,YBWA,4
Yellow-browed Bunting,Emberiza,chrysophrys,YBWB,5
Yellow-crowned Night-Heron,Nyctanassa,violacea,YCNH,1
Yellow Bittern,Ixobrychus,sinensis,YEBI,5
Yellow Grosbeak,Pheucticus,chrysopeplus,YEGR,4
Yellow-eyed Junco,Junco,phaeonotus,YEJU,2
Yellow Rail,Coturnicops,noveboracensis,YERA,2
Yellow Warbler,Setophaga,petechia,YEWA,1
Yellow-fronted Canary,Crithagra,mozambica,YFCA,2
Yellow-faced Grassquit,Tiaris,olivaceus,YFGR,3
Yellow-footed Gull,Larus,livens,YFGU,3
Yellow-green Vireo,Vireo,flavoviridis,YGVI,3
Yellow-headed Blackbird,Xanthocephalus,xanthocephalus,YHBL,1
Yellow-legged Gull,Larus,michahellis,YLGU,4
Yellow-nosed Albatross,Thalassarche,chlororhynchos,YNAL,4
Yellow-rumped Warbler,Setophaga,coronata,YRWA,1
Yellow-throated Bunting,Emberiza,elegans,YTBU,5
Yellow-throated Vireo,Vireo,flavifrons,YTVI,1
Yellow-throated Warbler,Setophaga,dominica,YTWA,1
Yucatan Vireo,Vireo,magister,YUVI,5
Zebra Dove,Geopelia,striata,ZEBD,2
Zenaida Dove,Zenaida,aurita,ZEND,5
Zino's Petrel,Pterodroma,madeira,ZIPE,5
Zone-tailed Hawk,Buteo,albonotatus,ZTHA,2
