common name,genus,species,code,num
Cassin's Sparrow,Peucaea,cassinii,CASP,1
Cave Swallow,Petrochelidon,fulva,CASW,1
Caspian Tern,Hydroprogne,caspia,CATE,1
California Thrasher,Toxostoma,redivivum,CATH,2
Cassin's Vireo,Vireo,cassinii,CAVI,1
Canada Warbler,Cardellina,canadensis,CAWA,1
Chestnut-backed Chickadee,Poecile,rufescens,CBCH,1
Chestnut-bellied Sandgrouse,Pterocles,exustus,CBSA,3
Curve-billed Thrasher,Toxostoma,curvirostre,CBTH,1
Crimson-collared Grosbeak,Rhodothraupis,celaeno,CCGR,4
Common Chaffinch,Fringilla,coelebs,CCHA,4
Common Chiffchaff,Phylloscopus,collybita,CCHI,5
Chestnut-collared Longspur,Calcarius,ornatus,CCLO,1
Common Crane,Grus,grus,CCRA,4
Clay-colored Sparrow,Spizella,pallida,CCSP,1
Clay-colored Thrush,Turdus,grayi,CCTH,3
Crescent-chested Warbler,Oreothlypis,superciliosa,CCWA,4
Cedar Waxwing,Bombycilla,cedrorum,CEDW,1
Cerulean Warbler,Setophaga,cerulea,CERW,2
Chatham Albatross,Thalassarche,eremita,CHAL,5
Chinese Egret,Egretta,eulophotes,CHEG,5
Chinese Sparrowhawk,Accipiter,soloensis,CHIS,5
Chestnut Munia,Lonchura,atricapilla,CHMU,2
Chinese Pond-Heron,Ardeola,bacchus,CHPH,5
Chihuahuan Raven,Corvus,cryptoleucus,CHRA,1
Christmas Shearwater,Puffinus,nativitatis,CHSH,3
Chipping Sparrow,Spizella,passerina,CHSP,1
Chimney Swift,Chaetura,pelagica,CHSW,1
Chukar,Alectoris,chukar,CHUK,2
Cinnamon Hummingbird,Amazilia,rutila,CIHU,5
Cinnamon Teal,Spatula,cyanoptera,CITE,1
Citrine Wagtail,Motacilla,citreola,CIWA,5
Clark's Grebe,Aechmophorus,clarkii,CLGR,1
Clark's Nutcracker,Nucifraga,columbiana,CLNU,1
Clapper Rail,Rallus,crepitans,CLRA,1
Cliff Swallow,Petrochelidon,pyrrhonota,CLSW,1
Cape May Warbler,Setophaga,tigrina,CMWA,1
Common Black Hawk,Buteogallus,anthracinus,COBH,2
Common Cuckoo,Cuculus,canorus,COCU,3
Common Eider,Somateria,mollissima,COEI,1
Collared Forest-Falcon,Micrastur,semitorquatus,COFF,5
Cordilleran Flycatcher,Empidonax,occidentalis,COFL,1
Common Gallinule,Gallinula,galeata,COGA,1
Common Ground-Dove,Columbina,passerina,COGD,1
Common Goldeneye,Bucephala,clangula,COGO,1
Common Grackle,Quiscalus,quiscula,COGR,1
Cooper's Hawk,Accipiter,cooperii,COHA,1
Common House-Martin,Delichon,urbicum,COHM,4
Costa's Hummingbird,Calypte,costae,COHU,1
Couch's Kingbird,Tyrannus,couchii,COKI,2
Common Loon,Gavia,immer,COLO,1
Colima Warbler,Oreothlypis,crissalis,COLW,3
Common Merganser,Mergus,merganser,COME,1
Common Greenshank,Tringa,nebularia,COMG,3
Common Moorhen,Gallinula,chloropus,COMO,5
Common Pochard,Aythya,ferina,COMP,3
Common Shelduck,Tadorna,tadorna,COMS,4
Common Murre,Uria,aalge,COMU,1
Common Waxbill,Estrilda,astrild,COMW,2
Common Myna,Acridotheres,tristis,COMY,2
Common Nighthawk,Chordeiles,minor,CONI,1
Connecticut Warbler,Oporornis,agilis,CONW,2
Common Pauraque,Nyctidromus,albicollis,COPA,2
Cook's Petrel,Pterodroma,cookii,COPE,3
Collared Plover,Charadrius,collaris,COPL,5
Common Poorwill,Phalaenoptilus,nuttallii,COPO,1
Common Raven,Corvus,corax,CORA,1
Corn Crake,Crex,crex,CORC,4
Common Redpoll,Acanthis,flammea,CORE,1
Common Rosefinch,Carpodacus,erythrinus,CORO,4
Common Sandpiper,Actitis,hypoleucos,COSA,3
Common Scoter,Melanitta,nigra,COSC,5
Cory's Shearwater,Calonectris,diomedea,COSH,1
Common Snipe,Gallinago,gallinago,COSN,3
Common Swift,Apus,apus,COSW,5
Common Tern,Sterna,hirundo,COTE,1
Common Yellowthroat,Geothlypis,trichas,COYE,1
Crested Auklet,Aethia,cristatella,CRAU,2
Crested Caracara,Caracara,cheriway,CRCA,2
Common Redshank,Tringa,totanus,CREH,5
Common Redstart,Phoenicurus,phoenicurus,CRET,5
Crane Hawk,Geranospiza,caerulescens,CRHA,5
Craveri's Murrelet,Synthliboramphus,craveri,CRMU,3
Common Ringed Plover,Charadrius,hiaticula,CRPL,3
Crissal Thrasher,Toxostoma,crissale,CRTH,2
Crowned Slaty Flycatcher,Empidonomus,aurantioatrocristatus,CSFL,5
Chestnut-sided Warbler,Setophaga,pensylvanica,CSWA,1
Cuban Martin,Progne,cryptoleuca,CUMA,5
Cuban Pewee,Contopus,caribaeus,CUPE,5
Curlew Sandpiper,Calidris,ferruginea,CUSA,3
Cuban Vireo,Vireo,gundlachii,CUVI,5
Cape Verde Shearwater,Calonectris,edwardsii,CVSH,5
Chuck-will's-widow,Antrostomus,carolinensis,CWWI,1
Double-crested Cormorant,Phalacrocorax,auritus,DCCO,1
Dusky-capped Flycatcher,Myiarchus,tuberculifer,DCFL,2
Dark-eyed Junco,Junco,hyemalis,DEJU,1
Dickcissel,Spiza,americana,DICK,1
Dovekie,Alle,alle,DOVE,2
Downy Woodpecker,Picoides,pubescens,DOWO,1
Dark-sided Flycatcher,Muscicapa,sibirica,DSFL,4
